Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
04/11/2008,19078.10462,4.11135,262.29594,3.17109,50.52802,1856.04387,74.5366,81.3457,0.12862,0.92767,1.08262,1728.29681,2759.26742,41.72131,10946.21353,3.53292,1135.91325,152.96048,13.09356,19739.89236
05/11/2008,17857.11726,4.12551,270.47497,3.10946,47.95909,1914.83465,71.9403,78.61448,0.12535,0.92572,1.08837,1613.221,2668.53341,41.67449,10672.83656,3.75466,1323.55182,151.68373,13.09399,18261.38718
06/11/2008,16544.68565,3.99598,264.46557,2.92925,44.2239,1779.33704,63.02057,75.64592,0.11865,0.8062,1.06415,1499.37886,2478.30978,39.99217,9795.45792,3.5976,1183.79603,142.9391,13.22846,17513.58285
07/11/2008,16999.77252,4.04735,268.79206,3.10629,45.4162,1837.83822,62.04963,77.20126,0.12279,0.86404,1.08298,1550.35945,2611.85067,39.39998,9917.40832,3.56952,895.49317,144.89245,13.28778,17253.59016
10/11/2008,16769.08007,4.15402,288.49908,3.08459,45.63406,1902.5329,61.90996,81.86526,0.12272,0.85817,1.09937,1561.23752,2684.97737,39.99526,9778.09163,3.58507,1038.46994,144.12496,13.08638,17325.85505
12/11/2008,15010.47522,3.83377,285.95356,3.01451,40.638,1798.45302,54.70782,72.25,0.11387,0.82661,1.04528,1453.71367,2486.32828,39.89191,9185.26228,3.43821,987.79395,139.31693,12.45747,15518.03319
13/11/2008,15212.73378,3.96887,296.47086,2.97064,38.09547,1705.82657,54.47595,#N/A,0.10586,0.77277,1.03285,1481.26073,2492.5575,38.77099,8834.6667,3.31256,979.23495,133.42844,12.38663,15136.88337
14/11/2008,15825.38207,4.00269,305.77262,3.11416,40.69005,1747.41745,56.67206,71.34259,0.1083,0.76275,1.04103,1506.19355,2448.32416,40.02529,9281.4484,3.36162,1228.21501,134.31976,12.28486,15719.8343
17/11/2008,15717.14453,3.94928,312.42258,#N/A,#N/A,1745.67823,55.79337,69.6233,0.10394,0.75552,1.05541,#N/A,2399.2419,39.00674,8940.459,3.28074,760.6957,133.56799,12.41487,14740.6976
18/11/2008,14759.59313,3.87387,292.84508,3.01822,38.10505,1666.50194,54.7385,66.82477,0.10041,0.71963,1.05482,1446.96188,2367.71063,37.48699,8510.82414,3.22032,898.23208,129.4791,11.994,14192.11719
